Long,Lat,#,Time
-24:39:06.7,23:11:04.8,421,1587485472.621356
-24:28:44.4,22:59:37.5,422,1587485476.2218149
-24:20:58.9,22:51:01.5,423,1587485479.796063
-24:10:40.0,22:39:32.8,424,1587485483.3707361
-24:02:57.0,22:30:55.8,425,1587485486.9448473
-23:52:41.4,22:19:25.7,426,1587485490.5184355
-23:42:27.6,22:07:54.9,427,1587485494.0928838
-23:34:48.5,21:59:16.2,428,1587485497.6671999
-23:24:37.9,21:47:44.0,429,1587485501.24095
-23:17:01.1,21:39:04.4,430,1587485504.814748
-23:06:53.7,21:27:31.0,431,1587485508.3887813
-22:59:19.3,21:18:50.4,432,1587485511.9633195
-22:49:14.9,21:07:15.6,433,1587485515.5375826
-22:39:12.3,20:55:40.1,434,1587485519.1111567
-22:31:41.5,20:46:58.1,435,1587485522.685696
-22:21:41.8,20:35:21.4,436,1587485526.293326
-22:14:13.2,20:26:38.4,437,1587485529.8672798
-22:04:16.5,20:15:00.5,438,1587485533.4749386
-21:54:21.5,20:03:21.9,439,1587485537.048838
-21:46:56.2,19:54:37.6,440,1587485540.6562867
-21:37:04.0,19:42:57.8,441,1587485544.230183
-21:29:40.9,19:34:12.6,442,1587485547.80855
-21:19:51.4,19:22:31.7,443,1587485551.4117339
-21:12:30.3,19:13:45.6,444,1587485554.98649
-21:02:43.6,19:02:03.7,445,1587485558.561016
-20:52:58.3,18:50:21.1,446,1587485562.1350193
-20:45:40.4,18:41:33.7,447,1587485565.7089636
-20:35:57.8,18:29:50.0,448,1587485569.2831836
-20:28:41.8,18:21:01.9,449,1587485572.8577816
-20:19:01.8,18:09:17.2,450,1587485576.4318461
-20:09:23.2,17:57:31.9,451,1587485580.0066264
-20:02:10.2,17:48:42.5,452,1587485583.5820653
-19:52:34.0,17:36:56.2,453,1587485587.1545815
-19:45:22.8,17:28:06.1,454,1587485590.7283015
-19:35:49.1,17:16:18.8,455,1587485594.3350856
-19:28:39.7,17:07:28.0,456,1587485597.9089305
-19:19:08.4,16:55:39.8,457,1587485601.483401
-19:09:38.3,16:43:51.0,458,1587485605.057654
-19:02:31.7,16:34:59.1,459,1587485608.631642
-18:53:03.9,16:23:09.4,460,1587485612.2058363
-18:45:58.9,16:14:16.8,461,1587485615.7801745
-18:36:33.4,16:02:26.2,462,1587485619.354071
-18:29:30.1,15:53:32.9,463,1587485622.9278958
-18:20:06.7,15:41:41.5,464,1587485626.501471
-18:10:44.6,15:29:49.5,465,1587485630.0760193
-18:03:43.7,15:20:55.3,466,1587485633.6493964
-17:54:23.6,15:09:02.5,467,1587485637.2242806
-17:47:24.3,15:00:07.6,468,1587485640.7979686
-17:38:06.3,14:48:14.0,469,1587485644.372562
-17:31:08.5,14:39:18.5,470,1587485647.9464252
-17:21:52.4,14:27:24.2,471,1587485651.5209131
-17:12:37.5,14:15:29.3,472,1587485655.0946624
-17:05:42.0,14:06:32.9,473,1587485658.6682434
-16:56:28.9,13:54:37.4,474,1587485662.2423007
-16:49:34.8,13:45:40.4,475,1587485665.816959
-16:40:23.5,13:33:44.1,476,1587485669.3919191
-16:33:30.8,13:24:46.6,477,1587485672.9989228
-16:24:21.3,13:12:49.6,478,1587485676.572924
-16:15:12.9,13:00:52.2,479,1587485680.180868
-16:08:22.2,12:51:53.9,480,1587485683.754814
-15:59:15.5,12:39:55.8,481,1587485687.3291152
-15:52:26.1,12:30:57.0,482,1587485690.9029503
-15:43:21.0,12:18:58.2,483,1587485694.4774284
-15:34:16.8,12:06:59.1,484,1587485698.0525968
-15:27:29.3,11:57:59.5,485,1587485701.6271477
-15:18:26.8,11:45:59.8,486,1587485705.205868
-15:11:40.4,11:36:59.8,487,1587485708.7749872
-15:02:39.4,11:24:59.4,488,1587485712.3558834
-14:55:54.1,11:15:58.9,489,1587485715.9571512
-14:46:54.6,11:03:58.0,490,1587485719.5311112
-14:37:55.9,10:51:56.8,491,1587485723.1060276
-14:31:12.3,10:42:55.6,492,1587485726.6789575
